index,name,hex,L,C,H,a,b
8,tableau-gray,#4b4b4b,31.888747393429803,0.000007410597128905072,NaN,-0.0000068805666997295845,0.0000027522266798918338
9,tableau-gray,#3f3f3f,26.65100384008494,0.000006600076727002736,NaN,-0.000006128017399076313,0.0000024512069596305253
10,tableau-gray,#333333,21.24673253653905,0.000005763786785984793,NaN,-0.000005351541682019345,0.000002140616672807738
11,tableau-gray,#282828,16.114392581835858,0.000004969577147561521,NaN,-0.000004614136545066927,0.0000018456546180267708
12,tableau-gray,#1e1e1e,11.263611426138173,0.000004218937667395316,NaN,-0.000003917185284474378,0.0000015668741137897513
0,area-red,#f5cac7,84.88379985301113,16.38666136048219,26.10614483158531,14.714900529804675,7.210712374035877
1,area-red,#fbb3ab,79.4390973353788,29.06732565047051,30.029372331722755,25.165588532367334,14.546565721505633
2,area-red,#fd9c8f,73.96381581093223,41.23028257770306,32.556888370935894,34.751255004856816,22.187529763916004
3,area-red,#fe8b7a,70.13857288978338,50.67947111248532,34.310453394207855,41.86101343882226,28.566839974277446
4,area-red,#fd7864,65.93635919941875,60.47296756506995,35.58142555834456,49.18202556010404,35.18676125947478
5,area-red,#f46b55,62.00640561117645,63.88409654539802,36.77776527591436,51.1688470179838,38.248227230446986
6,area-red,#ea5e45,57.973226002063896,67.28902528602005,38.3981128000766,52.73534552247633,41.794691727152156
7,area-red,#e04e35,53.55496103410013,71.44123348039716,39.004191226365606,55.51697711885334,44.96348621698871
8,area-red,#d43e25,48.983162288872904,74.64915319493107,39.83418539270616,57.32319424216992,47.81785727732629
9,area-red,#c92b14,44.518247783005606,78.54120205803672,40.35831528034788,59.849152811334186,50.86058718189281
10,area-red,#bd1100,39.95421020156373,82.14636318399874,41.00044778892601,61.99622607972505,53.89334779199603
0,area-green,#dbe8b4,89.89125086891745,27.204607510116553,118.49251717773586,-12.977794316485214,23.909569725498912
1,area-green,#c3e394,86.34432773857212,42.430634781855154,123.92003739394488,-23.677793940971135,35.20966972409833
2,area-green,#acdc7a,82.57258894218509,53.620090886373944,126.61519798062528,-31.981049321712142,43.03866437222719
3,area-green,#9ad26d,78.50033643327777,56.52634947140646,128.7259670524927,-35.362674596571495,44.09885973515155
4,area-green,#8ac765,74.31018378535349,56.43421550177652,130.9016788685816,-36.95103406011674,42.65491485384827
5,area-green,#7abc5f,70.12612672833453,55.54893042168796,133.51489028378012,-38.24783086479533,40.283831807954165
6,area-green,#6cae59,65.10546277957124,52.610138910211546,135.4023563803973,-37.46130838726713,36.93882902943493
7,area-green,#60a24d,60.65983798364813,53.06999862815738,135.1912815103678,-37.65122732763049,37.40066623892838
8,area-green,#569735,56.45417985381273,58.59129269043777,131.54542682803208,-38.85854495006647,43.85148872615626
9,area-green,#4a8c1c,52.169196232565284,63.436070158470635,129.28411051744683,-40.16557827487704,49.10052259391069
10,area-green,#3c8200,48.16562968314609,66.66028170770491,128.78127476248926,-41.75260591834712,51.964536526151974
0,area-brown,#f3e0c2,89.98115250717767,17.155558307749704,83.90933682182651,1.8202396363881657,17.058719427809386
1,area-brown,#f6d29c,86.05099365663284,31.892810192733396,80.55218557028002,5.23517987571126,31.46020078859426
2,area-brown,#f7c577,82.40143515757022,46.42308710740589,79.21675455728757,8.685484029877122,45.603348383079776
3,area-brown,#f0b763,78.04994569794923,51.35256147989588,76.96643142594752,11.58112629630159,50.029622067886926
4,area-brown,#e4aa63,73.64127570691335,46.4924338194146,73.11154673902911,13.506487304415227,44.4873150813613
5,area-brown,#d89c63,68.95347651562591,41.6810593287005,67.35216915147612,16.049954202288717,38.46699464303243
6,area-brown,#cc8f63,64.47218110603747,37.27025701804754,60.85982780525518,18.148673198310703,32.55299862274197
7,area-brown,#c08262,59.93933627170243,33.733717383557675,53.116690091266776,20.24654720625241,26.982235169435718
8,area-brown,#bb7359,55.63448620189352,36.7201013573463,45.76822273187531,25.614569636016437,26.310827924173164
9,area-brown,#bb6348,51.791073096185656,45.23826303691293,43.34223373069085,32.90029725420496,31.04949086831983
10,area-brown,#bb5137,47.9162661447851,54.5937902064606,41.181559666112776,41.088753200507696,35.94713186799194
0,blue_10_v1,#aad7f4,83.79679152242205,20.569795057259345,247.0704615974821,-8.013967645888354,-18.944465980024503
1,blue_10_v1,#9ac8e8,78.46310362167014,22.021563377733077,250.07590580474135,-7.504396782945233,-20.70346064124633
2,blue_10_v1,#8ab7db,72.4834469236194,23.64567389276879,255.08426347238446,-6.086353962125202,-22.84894284843153
3,blue_10_v1,#7ba9ce,67.30787180116982,24.423642576238716,255.96809085867073,-5.921810959541974,-23.69486171412083
4,blue_10_v1,#6c99c2,61.53659164276159,26.287605100599425,260.64556578345093,-4.272821941340322,-25.93802564927912
5,blue_10_v1,#5e8bb6,56.30812167943134,27.481712674716732,263.0233892871186,-3.3380430355406943,-27.278233084797932
6,blue_10_v1,#507ba9,50.3752558824537,29.094154367503172,267.28025515855865,-1.3805373458084524,-29.061382193504357
7,blue_10_v1,#426d9b,44.88683984872412,29.479071030231214,268.5733800603789,-0.7339298897990898,-29.469933419033655
8,blue_10_v1,#33608c,39.516438352345745,28.983093533853896,267.8853253475161,-1.0694661954704643,-28.96335534514034
0,orange_10_v1,#ffca70,84.31596965448536,52.267546000036994,80.34057472974621,8.770039439767952,51.52652494677763
1,orange_10_v1,#feb756,79.39386707381834,60.356526909310986,74.11589023899751,16.519127637842413,58.0519488272276
2,orange_10_v1,#f8a541,74.35149548776725,65.6729793191528,70.03844760386528,22.420065415087453,61.7274726474126
