Hex,Term,Lab A,Lab B,lab L
#cfff52,yellowgreen,-40,75,95
#c2f431,yellowgreen,-40,80,90
#bde31d,yellowgreen,-35,80,85
#b8d300,yellowgreen,-30,80,80
#ffff91,yellow,-15,55,100
#ffff9b,yellow,-15,50,100
#ffff6f,yellow,-20,70,100
#fff655,yellow,-15,75,95
#fff647,yellow,-15,80,95
#fff536,yellow,-15,85,95
#fff500,yellow,-15,95,95
#fff384,yellow,-10,55,95
#fff379,yellow,-10,60,95
#fff362,yellow,-10,70,95
#fff355,yellow,-10,75,95
#fff347,yellow,-10,80,95
#fff337,yellow,-10,85,95
#fff199,yellow,-5,45,95
#fff184,yellow,-5,55,95
#fff51e,yellow,-15,90,95
#fff36e,yellow,-10,65,95
#fff18f,yellow,-5,50,95
#ffe254,yellow,-5,70,90
#ffe247,yellow,-5,75,90
#ffe238,yellow,-5,80,90
#ffe124,yellow,-5,85,90
#ffe100,yellow,-5,90,90
#ffe081,yellow,0,50,90
#ffdf77,yellow,0,55,90
#ffdf61,yellow,0,65,90
#ffdf55,yellow,0,70,90
#ffdf48,yellow,0,75,90
#ffdf39,yellow,0,80,90
#ffdf6c,yellow,0,60,90
#ffce54,yellow,5,65,85
#ffce48,yellow,5,70,85
#ffce3a,yellow,5,75,85
#ffcd28,yellow,5,80,85
#ffcd0b,yellow,5,85,85
#ffca48,yellow,10,70,85
#ffca3a,yellow,10,75,85
#ffca2a,yellow,10,80,85
#fef48e,yellow,-10,50,95
#fee261,yellow,-5,65,90
#fece5f,yellow,5,60,85
#fdf661,yellow,-15,70,95
#fcf498,yellow,-10,45,95
#fce400,yellow,-10,90,90
#fce26c,yellow,-5,60,90
#fcd107,yellow,0,85,85
#fcce6a,yellow,5,55,85
#fbf800,yellow,-20,95,95
#fbf66d,yellow,-15,65,95
#fbe423,yellow,-10,85,90
#fbd127,yellow,0,80,85
#fbbd13,yellow,10,80,80
#fbbc00,yellow,10,85,80
#faf679,yellow,-15,60,95
#faf81c,yellow,-20,90,95
#fae537,yellow,-10,80,90
#fae277,yellow,-5,55,90
#fad139,yellow,0,75,85
#f9f835,yellow,-20,85,95
#f9f4a3,yellow,-10,40,95
#f8e547,yellow,-10,75,90
#f8e381,yellow,-5,50,90
#f8d147,yellow,0,70,85
#f7f846,yellow,-20,80,95
#f7f683,yellow,-15,55,95
#f7e554,yellow,-10,70,90
#f7d153,yellow,0,65,85
#f6f854,yellow,-20,75,95
#f6d15f,yellow,0,60,85
#f5f78e,yellow,-15,50,95
#f5e560,yellow,-10,65,90
#f4f961,yellow,-20,70,95
#f4e56b,yellow,-10,60,90
#f4d403,yellow,-5,85,85
#f4d16a,yellow,0,55,85
#f4c000,yellow,5,85,80
#f3f798,yellow,-15,45,95
#f3e700,yellow,-15,90,90
#f3d426,yellow,-5,80,85
#f3c011,yellow,5,80,80
#f2fb00,yellow,-25,95,95
#f2f96d,yellow,-20,65,95
#f2e721,yellow,-15,85,90
#f2e576,yellow,-10,55,90
#f2c029,yellow,5,75,80
#f1fb1a,yellow,-25,90,95
#f1e736,yellow,-15,80,90
#f1d438,yellow,-5,75,85
#f1c039,yellow,5,70,80
#f0fb34,yellow,-25,85,95
#f0f978,yellow,-20,60,95
#f0f7a2,yellow,-15,40,95
#f0e746,yellow,-15,75,90
#f0e581,yellow,-10,50,90
#f0d446,yellow,-5,70,85
#f0c046,yellow,5,65,80
#efd453,yellow,-5,65,85
#eefb45,yellow,-25,80,95
#eef983,yellow,-20,55,95
#eee853,yellow,-15,70,90
#eec052,yellow,5,60,80
#edfb53,yellow,-25,75,95
#ede68b,yellow,-10,45,90
#edd45e,yellow,-5,60,85
#ecf98e,yellow,-20,50,95
#ece860,yellow,-15,65,90
#ecc300,yellow,0,85,80
#ebfb60,yellow,-25,70,95
#ebea00,yellow,-20,90,90
#ebe86b,yellow,-15,60,90
#ebd600,yellow,-10,85,85
#ebd469,yellow,-5,55,85
#ebc30e,yellow,0,80,80
#ead624,yellow,-10,80,85
#ead474,yellow,-5,50,85
#eac328,yellow,0,75,80
#e9fd00,yellow,-30,95,95
#e9fb6c,yellow,-25,65,95
#e9f998,yellow,-20,45,95
#e9ea1f,yellow,-20,85,90
#e9e876,yellow,-15,55,90
#e9d737,yellow,-10,75,85
#e9c338,yellow,0,70,80
#e8fd18,yellow,-30,90,95
#e8ea35,yellow,-20,80,90
#e8d746,yellow,-10,70,85
#e8c346,yellow,0,65,80
#e7fc78,yellow,-25,60,95
#e7ea45,yellow,-20,75,90
#e6fd33,yellow,-30,85,95
#e6faa2,yellow,-20,40,95
#e6e880,yellow,-15,50,90
#e6d752,yellow,-10,65,85
#e6c352,yellow,0,60,80
#e5fe44,yellow,-30,80,95
#e5ea53,yellow,-20,70,90
#e5d75e,yellow,-10,60,85
#e4fc83,yellow,-25,55,95
#e4e88b,yellow,-15,45,90
#e4c600,yellow,-5,85,80
#e3fe53,yellow,-30,75,95
#e3ea5f,yellow,-20,65,90
#e3d900,yellow,-15,85,85
#e3d769,yellow,-10,55,85
#e3c60b,yellow,-5,80,80
#e3b214,yellow,5,75,75
#e3b200,yellow,5,80,75
#e2fc8d,yellow,-25,50,95
#e2ec00,yellow,-25,90,90
#e2d923,yellow,-15,80,85
#e2c627,yellow,-5,75,80
#e2b229,yellow,5,70,75
#e1fe60,yellow,-30,70,95
#e1eb6b,yellow,-20,60,90
#e1d936,yellow,-15,75,85
#e1d774,yellow,-10,50,85
#e1c637,yellow,-5,70,80
#e0ed1e,yellow,-25,85,90
#e0c645,yellow,-5,65,80
#dffe6c,yellow,-30,65,95
#dfed34,yellow,-25,80,90
#dfeb76,yellow,-20,55,90
#dfd945,yellow,-15,70,85
#deff16,yellow,-35,90,95
#deed44,yellow,-25,75,90
#deda52,yellow,-15,65,85
#dec651,yellow,-5,60,80
#ddff32,yellow,-35,85,95
#ddfe77,yellow,-30,60,95
#ddeb80,yellow,-20,50,90
#ddc65c,yellow,-5,55,80
#dced52,yellow,-25,70,90
#dcda5e,yellow,-15,60,85
#dcc900,yellow,-10,85,80
#dcb500,yellow,0,80,75
#dbff43,yellow,-35,80,95
#dbc907,yellow,-10,80,80
#dbb512,yellow,0,75,75
#daed5f,yellow,-25,65,90
#daeb8a,yellow,-20,45,90
#dadc00,yellow,-20,85,85
#dada69,yellow,-15,55,85
#dac925,yellow,-10,75,80
#dab528,yellow,0,70,75
#d9ff52,yellow,-35,75,95
#d9dc22,yellow,-20,80,85
#d9c937,yellow,-10,70,80
#d9b637,yellow,0,65,75
#d8ef00,yellow,-30,90,90
#d8ed6a,yellow,-25,60,90
#d8dc35,yellow,-20,75,85
#d8da73,yellow,-15,50,85
#d8b644,yellow,0,60,75
#d7ff5f,yellow,-35,70,95
#d7ef1c,yellow,-30,85,90
#d7c944,yellow,-10,65,80
#d6ef33,yellow,-30,80,90
#d6ed75,yellow,-25,55,90
#d6dc44,yellow,-20,70,85
#d6c951,yellow,-10,60,80
#d5dc51,yellow,-20,65,85
#d4ff14,yellow,-40,90,95
#d4ef44,yellow,-30,75,90
#d4cb00,yellow,-15,85,80
#d4c95c,yellow,-10,55,80
#d4b800,yellow,-5,80,75
#d3ff30,yellow,-40,85,95
#d3dc5d,yellow,-20,60,85
#d3cb04,yellow,-15,80,80
#d3b810,yellow,-5,75,75
#d2ef52,yellow,-30,70,90
#d2cb24,yellow,-15,75,80
#d2b827,yellow,-5,70,75
#d1ff43,yellow,-40,80,95
#d1de00,yellow,-25,85,85
#d1dd68,yellow,-20,55,85
#d1b837,yellow,-5,65,75
#d0f05e,yellow,-30,65,90
#d0de20,yellow,-25,80,85
#d0cc36,yellow,-15,70,80
#cff100,yellow,-35,90,90
#cfdf34,yellow,-25,75,85
#cfcc44,yellow,-15,65,80
#cfb944,yellow,-5,60,75
#cef11a,yellow,-35,85,90
#cddf44,yellow,-25,70,85
#cdcc50,yellow,-15,60,80
#ccf232,yellow,-35,80,90
#ccbb00,yellow,-10,80,75
#cca800,yellow,0,75,70
#cbdf51,yellow,-25,65,85
#cbcc5b,yellow,-15,55,80
#cbbb0d,yellow,-10,75,75
#caf243,yellow,-35,75,90
#cace01,yellow,-20,80,80
#cabb26,yellow,-10,70,75
#c9ce23,yellow,-20,75,80
#c9bb36,yellow,-10,65,75
#c8e100,yellow,-30,85,85
#c7e11f,yellow,-30,80,85
#c7ce35,yellow,-20,70,80
#c7bb43,yellow,-10,60,75
#c6ce43,yellow,-20,65,80
#c5f400,yellow,-40,90,90
#c5e133,yellow,-30,75,85
#c4f418,yellow,-40,85,90
#c4be00,yellow,-15,80,75
#c4ab00,yellow,-5,75,70
#c3be0b,yellow,-15,75,75
#c3ab13,yellow,-5,70,70
#c1d000,yellow,-25,80,80
#c1be25,yellow,-15,70,75
#c0d122,yellow,-25,75,80
#c0be35,yellow,-15,65,75
#bfe300,yellow,-35,85,85
#bcae00,yellow,-10,75,70
#bbc000,yellow,-20,80,75
#bbae11,yellow,-10,70,70
#bac008,yellow,-20,75,75
#b4b000,yellow,-15,75,70
#b3b00f,yellow,-15,70,70
#ffffff,white,0,0,100
#fffff5,white,0,5,100
#fffeec,white,0,10,100
#ffede7,white,5,5,95
#fdffeb,white,-5,10,100
#fbedf1,white,5,0,95
#faffff,white,0,-5,100
#f9fff5,white,-5,5,100
#f9f0dd,white,0,10,95
#f6eefa,white,5,-5,95
#f5f0e7,white,0,5,95
#f4ffff,white,-5,0,100
#f3ffeb,white,-10,10,100
#f1f1f1,white,0,0,95
#efffff,white,-5,-5,100
#eefff5,white,-10,5,100
#ecf1fa,white,0,-5,95
#ebf3e7,white,-5,5,95
#467272,teal,-15,-5,45
#399283,teal,-30,0,55
#387472,teal,-20,-5,45
#369094,teal,-25,-10,55
#355952,teal,-15,0,35
#258387,teal,-25,-10,50
#247672,teal,-25,-5,45
#169294,teal,-30,-10,55
#144242,teal,-15,-5,25
#116966,teal,-25,-5,40
#088490,teal,-25,-15,50
#016876,teal,-20,-15,40
#009583,teal,-40,0,55
#009494,teal,-35,-10,55
#008676,teal,-35,0,50
#008590,teal,-30,-15,50
#008587,teal,-30,-10,50
#007872,teal,-30,-5,45
#007783,teal,-25,-15,45
#005056,teal,-20,-10,30
#004342,teal,-20,-5,25
#45826e,teal,-25,5,50
#45817f,teal,-20,-5,50
#43917a,teal,-30,5,55
#42908c,teal,-25,-5,55
#40746a,teal,-20,0,45
#40655e,teal,-15,0,40
#35846e,teal,-30,5,50
#33837f,teal,-25,-5,50
#33675e,teal,-20,0,40
#31666e,teal,-15,-10,40
#30766a,teal,-25,0,45
#22695e,teal,-25,0,40
#18857f,teal,-30,-5,50
#18786a,teal,-30,0,45
#05957a,teal,-40,5,55
#02424a,teal,-15,-10,25
#00948b,teal,-35,-5,55
#00939d,teal,-30,-15,55
#00886d,teal,-40,5,50
#00877e,teal,-35,-5,50
#00796a,teal,-35,0,45
#00787a,teal,-30,-10,45
#00514e,teal,-25,-5,30
#00444a,teal,-20,-10,25
#669b90,teal,-20,0,60
#598d83,teal,-20,0,55
#589d90,teal,-25,0,60
#528f7a,teal,-25,5,55
#528e8c,teal,-20,-5,55
#527f7f,teal,-15,-5,50
#509f87,teal,-30,5,60
#509d99,teal,-25,-5,60
#498e94,teal,-20,-10,55
#489f90,teal,-30,0,60
#459da1,teal,-25,-10,60
#275b52,teal,-20,0,35
#245a62,teal,-15,-10,35
#214d4e,teal,-15,-5,30
#154e56,teal,-15,-10,30
#115d52,teal,-25,0,35
#075c62,teal,-20,-10,35
#006b66,teal,-30,-5,40
#006b5d,teal,-30,0,40
#006a76,teal,-25,-15,40
#006a6e,teal,-25,-10,40
#005e52,teal,-30,0,35
#005d62,teal,-25,-10,35
#005d5a,teal,-25,-5,35
#005c6a,teal,-20,-15,35
#87d6bc,teal,-30,5,80
#87c5af,teal,-25,5,75
#83f9c4,teal,-45,15,90
#80c6b8,teal,-25,0,75
#79c8ae,teal,-30,5,75
#79b8a1,teal,-25,5,70
#79a894,teal,-20,5,65
#78d8bc,teal,-35,5,80
#76e8ca,teal,-40,5,85
#73b8aa,teal,-25,0,70
#73a89d,teal,-20,0,65
#72c8b8,teal,-30,0,75
#71fbc4,teal,-50,15,90
#71caa5,teal,-35,10,75
#68fbce,teal,-50,10,90
#67dabc,teal,-40,5,80
#65aa9d,teal,-25,0,65
#64baaa,teal,-30,0,70
#62ecb6,teal,-50,15,85
#62ebc9,teal,-45,5,85
#61cca5,teal,-40,10,75
#61cab8,teal,-35,0,75
#58ccae,teal,-40,5,75
#57ecc0,teal,-50,10,85
#56cac1,teal,-35,-5,75
#56ac9d,teal,-30,0,65
#52dea9,teal,-50,15,80
#52dcbc,teal,-45,5,80
#52be98,teal,-40,10,70
#52bcaa,teal,-35,0,70
#49edc9,teal,-50,5,85
#48bea1,teal,-40,5,70
#46bdb3,teal,-35,-5,70
#45deb2,teal,-50,10,80
#43dcc5,teal,-45,0,80
#43b08b,teal,-40,10,65
#43ae9d,teal,-35,0,65
#40ceae,teal,-45,5,75
#39eec0,teal,-55,10,85
#38b094,teal,-40,5,65
#36bdbc,teal,-35,-10,70
#35e0a9,teal,-55,15,80
#35afa6,teal,-35,-5,65
#34debb,teal,-50,5,80
#32a190,teal,-35,0,60
#31d0a5,teal,-50,10,75
#29b28a,teal,-45,10,65
#27bfb3,teal,-40,-5,70
#26cdca,teal,-40,-10,75
#26b09d,teal,-40,0,65
#24ffcd,teal,-60,10,90
#24a287,teal,-40,5,60
#21f0b6,teal,-60,15,85
#16d0ae,teal,-50,5,75
#15dec5,teal,-50,0,80
#14c197,teal,-50,10,70
#05cfc0,teal,-45,-5,75
#04a38f,teal,-40,0,60
#00ffc4,teal,-65,15,90
#00f2b6,teal,-65,15,85
#00f1c9,teal,-60,5,85
#00f0bf,teal,-60,10,85
#00e2b2,teal,-60,10,80
#00e1a8,teal,-60,15,80
#00e0c5,teal,-55,0,80
#00e0bb,teal,-55,5,80
#00d2ae,teal,-55,5,75
#00d1a5,teal,-55,10,75
#00d0b7,teal,-50,0,75
#00cfca,teal,-45,-10,75
#00c397,teal,-55,10,70
#00c2aa,teal,-50,0,70
#00c2a1,teal,-50,5,70
#00c1b3,teal,-45,-5,70
#00bfbc,teal,-40,-10,70
#00b493,teal,-50,5,65
#00b48a,teal,-50,10,65
#00b29c,teal,-45,0,65
#00b1ae,teal,-40,-10,65
#00b1a5,teal,-40,-5,65
#00a486,teal,-45,5,60
#00a398,teal,-40,-5,60
#00a58f,teal,-45,0,60
#00a2aa,teal,-35,-15,60
#00a2a1,teal,-35,-10,60
#8de6c0,teal,-35,10,85
#8cf7ce,teal,-40,10,90
#7fd8b3,teal,-35,10,80
#7ee8c0,teal,-40,10,85
#7bf9ce,teal,-45,10,90
#6fdab2,teal,-40,10,80
#6fd8c5,teal,-35,0,80
#6ceac0,teal,-45,10,85
#6caa94,teal,-25,5,65
#6bbaa1,teal,-30,5,70
#6acaae,teal,-35,5,75
#5f9c87,teal,-25,5,60
#5f9b99,teal,-20,-5,60
#5f8b8c,teal,-15,-5,55
#5eac94,teal,-30,5,65
#5ddcb2,teal,-45,10,80
#5daba6,teal,-25,-5,65
#5cfdc4,teal,-55,15,90
#5cdac5,teal,-40,0,80
#5cbca1,teal,-35,5,70
#5bbab3,teal,-30,-5,70
#4fdbce,teal,-40,-5,80
#4efdcd,teal,-55,10,90
#4dcea5,teal,-45,10,75
#4dae94,teal,-35,5,65
#4cccb7,teal,-40,0,75
#4cada6,teal,-30,-5,65
#4c8076,teal,-20,0,50
#4b9083,teal,-25,0,55
#4aeeb6,teal,-55,15,85
#3fadaf,teal,-30,-10,65
#3fa187,teal,-35,5,60
#3dffc4,teal,-60,15,90
#3dcdc1,teal,-40,-5,75
#3d8376,teal,-25,0,50
#3d9f98,teal,-30,-5,60
#3cc098,teal,-45,10,70
#3bbeaa,teal,-40,0,70
#3b8187,teal,-20,-10,50
#3a6566,teal,-15,-5,40
#2fddce,teal,-45,-5,80
#2f937a,teal,-35,5,55
#2eceb7,teal,-45,0,75
#2da0a1,teal,-30,-10,60
#2d747a,teal,-20,-10,45
#2d595a,teal,-15,-5,35
#2cc0a1,teal,-45,5,70
#2c928b,teal,-30,-5,55
#2a8476,teal,-30,0,50
#2a6866,teal,-20,-5,40
#1fa198,teal,-35,-5,60
#1f9383,teal,-35,0,55
#1eefc9,teal,-55,5,85
#1eafae,teal,-35,-10,65
#1d866d,teal,-35,5,50
#1d686e,teal,-20,-10,40
#1ce0b2,teal,-55,10,80
#1c5b5a,teal,-20,-5,35
#0f767a,teal,-25,-10,45
#0db293,teal,-45,5,65
#0cc0aa,teal,-45,0,70
#0a4f4e,teal,-20,-5,30
#ffe08c,tan,0,45,90
#ffdda9,tan,5,30,90
#ffdd96,tan,5,40,90
#ffdd8c,tan,5,45,90
#ffdc82,tan,5,50,90
#fde096,tan,0,40,90
#fae09f,tan,0,35,90
#face75,tan,5,50,85
#f9cf7f,tan,5,45,85
#f6e38b,tan,-5,45,90
#f6cf89,tan,5,40,85
#f4e395,tan,-5,40,90
#f4cf92,tan,5,35,85
#f3bd68,tan,10,50,80
#f2d174,tan,0,50,85
#f2cf9c,tan,5,30,85
#f2be72,tan,10,45,80
#f0d27e,tan,0,45,85
#f0be7c,tan,10,40,80
#eed288,tan,0,40,85
#edc05d,tan,5,55,80
#ecd292,tan,0,35,85
#ebc168,tan,5,50,80
#eac172,tan,5,45,80
#e9d29c,tan,0,30,85
#e8c17c,tan,5,40,80
#e7d57e,tan,-5,45,85
#e6c185,tan,5,35,80
#e6bfa2,tan,10,20,80
#e5d588,tan,-5,40,85
#e5c35d,tan,0,55,80
#e4b05b,tan,10,50,75
#e3d592,tan,-5,35,85
#e3c467,tan,0,50,80
#e3c18f,tan,5,30,80
#e3b065,tan,10,45,75
#e1c471,tan,0,45,80
#e1c298,tan,5,25,80
#e1b06f,tan,10,40,75
#dfd87e,tan,-10,45,85
#dfc47b,tan,0,40,80
#dfb079,tan,10,35,75
#dec2a1,tan,5,20,80
#deb350,tan,5,55,75
#ddc485,tan,0,35,80
#ddb182,tan,10,30,75
#ddb35b,tan,5,50,75
#dc9f59,tan,15,45,70
#dbc767,tan,-5,50,80
#dbc58e,tan,0,30,80
#dbb365,tan,5,45,75
#dbb18b,tan,10,25,75
#da9f63,tan,15,40,70
#d18f60,tan,20,35,65
#d9c771,tan,-5,45,80
#d9b36f,tan,5,40,75
#d8c598,tan,0,25,80
#d8b194,tan,10,20,75
#d8a06c,tan,15,35,70
#d7c77b,tan,-5,40,80
#d7b478,tan,5,35,75
#d6da7d,tan,-15,45,85
#d6b650,tan,0,55,75
#d6a075,tan,15,30,70
#d5b482,tan,5,30,75
#d5b65a,tan,0,50,75
#d5b19e,tan,10,15,75
#d5a24e,tan,10,50,70
#d4c785,tan,-5,35,80
#d4a358,tan,10,45,70
#d4a07f,tan,15,25,70
#d3b664,tan,0,45,75
#d2c966,tan,-10,50,80
#d2c78e,tan,-5,30,80
#d2b48b,tan,5,25,75
#d2a362,tan,10,40,70
#d2a088,tan,15,20,70
#d1b66e,tan,0,40,75
#d1a36c,tan,10,35,70
#d0ca71,tan,-10,45,80
#d0b494,tan,5,20,75
#d0a537,tan,5,60,70
#cfb778,tan,0,35,75
#cfa543,tan,5,55,70
#cfa375,tan,10,30,70
#cf8f69,tan,20,30,65
#ceca7b,tan,-10,40,80
#ceb94f,tan,-5,55,75
#cea64e,tan,5,50,70
#ccb781,tan,0,30,75
#ccb95a,tan,-5,50,75
#cca658,tan,5,45,70
#cca37e,tan,10,25,70
#cbca84,tan,-10,35,80
#cba662,tan,5,40,70
#cb9256,tan,15,40,65
#cab964,tan,-5,45,75
#cab78b,tan,0,25,75
#caa487,tan,10,20,70
#ca9260,tan,15,35,65
#c89369,tan,15,30,65
#c49656,tan,10,40,65
#c09669,tan,10,30,65
#c5954c,tan,10,45,65
#c2965f,tan,10,35,65
#c9cc66,tan,-15,50,80
#c9a66b,tan,5,35,70
#c8b96e,tan,-5,40,75
#c7cc70,tan,-15,45,80
#c7a842,tan,0,55,70
#c7a490,tan,10,15,70
#c6bc4f,tan,-10,55,75
#c6b978,tan,-5,35,75
#c6a675,tan,5,30,70
#c6a94d,tan,0,50,70
#c5cc7a,tan,-15,40,80
#c4bc59,tan,-10,50,75
#c4ba81,tan,-5,30,75
#c4a958,tan,0,45,70
#c4a77e,tan,5,25,70
#c2bc64,tan,-10,45,75
#c2a962,tan,0,40,70
#c2a787,tan,5,20,70
#c1ba8b,tan,-5,25,75
#c0bc6e,tan,-10,40,75
#c0a96b,tan,0,35,70
#bfab42,tan,-5,55,70
#beab4d,tan,-5,50,70
#bea975,tan,0,30,70
#be9672,tan,10,25,65
#be984c,tan,5,45,65
#bdbc77,tan,-10,35,75
#bcac57,tan,-5,45,70
#bcaa7e,tan,0,25,70
#bc9955,tan,5,40,65
#bbbc81,tan,-10,30,75
#baac61,tan,-5,40,70
#ba995f,tan,5,35,65
#b89968,tan,5,30,65
#b69971,tan,5,25,65
#b69b4b,tan,0,45,65
#b49c55,tan,0,40,65
#b29c5f,tan,0,35,65
#b09e40,tan,-5,50,65
#b09c68,tan,0,30,65
#b8ac6b,tan,-5,35,70
#b6ae4d,tan,-10,50,70
#b6ac74,tan,-5,30,70
#b4ae57,tan,-10,45,70
#b2ae61,tan,-10,40,70
#afaf6b,tan,-10,35,70
#ae9e4b,tan,-5,45,65
#ae9c71,tan,0,25,65
#adaf74,tan,-10,30,70
#ac9e55,tan,-5,40,65
#aa9f5e,tan,-5,35,65
#a89f68,tan,-5,30,65
#ff8877,salmon,45,30,70
#ff8765,salmon,45,40,70
#ff8378,salmon,50,30,70
#ff6963,salmon,60,35,65
#ff876e,salmon,45,35,70
#ff685a,salmon,60,40,65
#ff9e83,salmon,35,30,75
#ff6f62,salmon,55,35,65
#ff6f59,salmon,55,40,65
#ff6f6b,salmon,55,30,65
#fe8c65,salmon,40,40,70
#fd8c6e,salmon,40,35,70
#fc7459,salmon,50,40,65
#fb7562,salmon,50,35,65
#fb8c77,salmon,40,30,70
#fa756b,salmon,50,30,65
#f49177,salmon,35,30,70
#f26156,salmon,55,35,60
#f6906d,salmon,35,35,70
#f3614d,salmon,55,40,60
#f1615f,salmon,55,30,60
#f47a62,salmon,45,35,65
#f37a6b,salmon,45,30,65
#ed674d,salmon,50,40,60
#ed7f61,salmon,40,35,65
#ec7f6a,salmon,40,30,65
#eb6756,salmon,50,35,60
#eb957f,salmon,30,25,70
#ea675f,salmon,50,30,60
#ea7f73,salmon,40,25,65
#e78361,salmon,35,35,65
#e38473,salmon,35,25,65
#e08761,salmon,30,35,65
#e5836a,salmon,35,30,65
#e56c56,salmon,45,35,60
#e46d5e,salmon,45,30,60
#de7155,salmon,40,35,60
#de886a,salmon,30,30,65
#dd725e,salmon,40,30,60
#dc8873,salmon,30,25,65
#db7267,salmon,40,25,60
#d77655,salmon,35,35,60
#d47767,salmon,35,25,60
#d46052,salmon,45,30,55
#d6765e,salmon,35,30,60
#d58c72,salmon,25,25,65
#d55f4a,salmon,45,35,55
#cf6449,salmon,40,35,55
#cf7b5d,salmon,30,30,60
#ce6552,salmon,40,30,55
#cd7b66,salmon,30,25,60
#cc655b,salmon,40,25,55
#c76952,salmon,35,30,55
#c66a5a,salmon,35,25,55
#ff5357,red,65,35,60
#ff5245,red,65,45,60
#ff4932,red,70,55,60
#ff4928,red,70,60,60
#ff4806,red,70,70,60
#ff1844,red,80,40,55
#ff1732,red,80,50,55
#ff1628,red,80,55,55
#ff1400,red,80,70,55
#ff534e,red,65,40,60
#ff523c,red,65,50,60
#ff493c,red,70,50,60
#ff491b,red,70,65,60
#ff194d,red,80,35,55
#ff173b,red,80,45,55
#ff151d,red,80,60,55
#ff150f,red,80,65,55
#ff4a58,red,70,35,60
#ff4a46,red,70,45,60
#ff4a4f,red,70,40,60
#ff2a00,red,75,70,55
#ff2a0d,red,75,65,55
#ff1b55,red,80,30,55
#fe2b27,red,75,55,55
#fe2b1c,red,75,60,55
#fd2c3b,red,75,45,55
#fd2b31,red,75,50,55
#fc2c44,red,75,40,55
#fb2d4c,red,75,35,55
#fa5a45,red,60,45,60
#fa2e55,red,75,30,55
#f93800,red,70,70,55
#f83826,red,70,55,55
#f73931,red,70,50,55
#f63943,red,70,40,55
#f40000,red,80,65,50
#f30027,red,80,50,50
#f30010,red,80,60,50
#f24325,red,65,55,55
#f24219,red,65,60,55
#f20030,red,80,45,50
#f14330,red,65,50,55
#f10041,red,80,35,50
#f10039,red,80,40,50
#f04343,red,65,40,55
#f04339,red,65,45,55
#f9380a,red,70,65,55
#f8381b,red,70,60,55
#f7393a,red,70,45,55
#f3001d,red,80,55,50
#f0004a,red,80,30,50
#f95a4e,red,60,40,60
#f85b57,red,60,35,60
#f53a4c,red,70,35,55
#f43a54,red,70,30,55
#ef444b,red,65,35,55
#ee4454,red,65,30,55
#ee0d0e,red,75,60,50
#ee0c00,red,75,65,50
#ed0f26,red,75,50,50
#ed0e1c,red,75,55,50
#ec102f,red,75,45,50
#eb1241,red,75,35,50
#eb1138,red,75,40,50
#eb4b2f,red,60,50,55
#ea1349,red,75,30,50
#ea4c39,red,60,45,55
#e91451,red,75,25,50
#e82400,red,70,65,50
#e72525,red,70,50,50
#e52740,red,70,35,50
#e52638,red,70,40,50
#e45338,red,55,45,55
#e42749,red,70,30,50
#e35342,red,55,40,55
#e32851,red,70,25,50
#e23209,red,65,60,50
#e23200,red,65,65,50
#e15453,red,55,30,55
#e13224,red,65,50,50
#e13219,red,65,55,50
#e8250c,red,70,60,50
#e7251a,red,70,55,50
#e6262f,red,70,45,50
#e2534a,red,55,35,55
#e0332e,red,65,45,50
#e94c42,red,60,40,55
#e84c4b,red,60,35,55
#e74c53,red,60,30,55
#df3340,red,65,35,50
#df3337,red,65,40,50
#de3448,red,65,30,50
#dd5941,red,50,40,55
#dd3450,red,65,25,50
#dd0000,red,75,60,45
#dc0024,red,75,45,45
#dc001b,red,75,50,45
#dc000f,red,75,55,45
#dc5a4a,red,50,35,55
#dc3c07,red,60,60,50
#db002d,red,75,40,45
#db5a53,red,50,30,55
#db3c23,red,60,50,50
#db3c18,red,60,55,50
#da0036,red,75,35,45
#da003e,red,75,30,45
#da3d2d,red,60,45,50
#d90046,red,75,25,45
#d70400,red,70,60,45
#d60724,red,70,45,45
#d54422,red,55,50,50
#d50935,red,70,35,45
#d34536,red,55,40,50
#d14647,red,55,30,50
#d04650,red,55,25,50
#d02023,red,65,45,45
#d7050d,red,70,55,45
#d6061a,red,70,50,45
#d5082d,red,70,40,45
#d4452d,red,55,45,50
#d2453f,red,55,35,50
#d93d36,red,60,40,50
#d93d3f,red,60,35,50
#d83e48,red,60,30,50
#d73e50,red,60,25,50
#d40b3d,red,70,30,45
#d30c45,red,70,25,45
#d20e4d,red,70,20,45
#d11f00,red,65,60,45
#d11f0b,red,65,55,45
#d01f18,red,65,50,45
#cf2135,red,65,35,45
#cf202c,red,65,40,45
#ce213d,red,65,30,45
#ce4c2c,red,50,45,50
#cd2245,red,65,25,45
#cd4c35,red,50,40,50
#cc224d,red,65,20,45
#cc4c3e,red,50,35,50
#cb4c47,red,50,30,50
#cb2c17,red,60,50,45
#cb2c09,red,60,55,45
#cb2c00,red,60,60,45
#ca4d4f,red,50,25,50
#ca2d22,red,60,45,45
#ca2d2b,red,60,40,45
#c75235,red,45,40,50
#c63600,red,55,60,45
#c60019,red,70,45,40
#c60000,red,70,55,40
#c55247,red,45,30,50
#c53616,red,55,50,45
#c53607,red,55,55,45
#c50022,red,70,40,40
#c43621,red,55,45,45
#c40032,red,70,30,40
#c33733,red,55,35,45
#c25357,red,45,20,50
#c20042,red,70,20,40
#c13744,red,55,25,45
#c10000,red,65,55,40
