term,frequency,entropy,rel_term,rt_score,CHex,Clab_L,Clab_a,Clab_b,C Prob,RHex,Rlab_L,Rlab_a,Rlab_b,RC Prob
palegreen,14123,-10.048252030804578,palegreen,0.05915,#cbfbb5,94,-28,29,0.17,#caffb5,95,-30,30,0.17
bluegreen,12032,-9.822819222929953,bluegreen,0.03709,#006d66,41,-29,-4,0.0859375,#116966,40,-25,-5,0.08695652173913043
mint,11488,-9.58844297036759,mint,0.04512,#baffc3,95,-34,23,0.1076923076923077,#baffbf,95,-35,25,0.11458333333333333
lightbrown,12883,-9.976328586660452,lightbrown,0.08492,#ae8357,58,11,30,0.22527472527472528,#b2895c,60,10,30,0.22527472527472528
mauve,19947,-11.223202732437127,mauve,0.05511,#a06f78,52,21,3,0.19672131147540983,#a8777c,55,20,5,0.20149253731343283
darkred,6850,-8.71988582735656,darkred,0.08058,#740006,22,47,31,0.16216216216216217,#6c0002,20,45,30,0.1774193548387097
greyblue,11647,-9.98614923384448,greyblue,0.05547,#6a8b9c,56,-7,-13,0.152,#6a879d,55,-5,-15,0.152
burntorange,7582,-8.973380009369809,burntorange,0.07083,#bc5303,48,39,57,0.16300940438871472,#b34a01,45,40,55,0.16412213740458015
darkpink,12452,-10.236832748713518,darkpink,0.04311,#c34567,48,53,8,0.099601593625498,#c44e70,50,50,5,0.10550458715596331
indigo,10837,-10.016752919322155,indigo,0.0285,#330067,13,45,-48,0.04827586206896552,#360076,15,50,-55,0.05782312925170068
periwinkle,11376,-10.0574343361667,periwinkle,0.04608,#8e8ef3,63,25,-51,0.1124031007751938,#9091ff,65,30,-60,0.11428571428571428
bluegrey,10418,-9.89693024642676,bluegrey,0.05574,#657c8f,51,-4,-13,0.13545816733067728,#6a879d,55,-5,-15,0.14
lightpink,8583,-9.49728474113678,lightpink,0.08157,#ffdae8,91,17,-1,0.23780487804878048,#ffe7fb,95,15,-5,0.23809523809523808
aquamarine,8545,-9.57351259071148,aquamarine,0.02447,#00d6b7,77,-51,3,0.04401650618982118,#00d0b7,75,-50,0,0.04461538461538461
gold,6578,-8.914024494794887,gold,0.06026,#d3ad00,72,1,75,0.12367491166077739,#cca800,70,0,75,0.12367491166077739
brightpurple,7373,-9.217397141721042,brightpurple,0.03011,#c827ff,53,86,-74,0.06443298969072164,#cb33ff,55,85,-75,0.06443298969072164
grassgreen,7902,-9.497228356393306,grassgreen,0.0207,#539d1e,58,-44,54,0.041666666666666664,#56a221,60,-45,55,0.041666666666666664
redorange,4598,-8.276294450946388,redorange,0.05369,#fb4d23,58,64,59,0.10787172011661808,#ff5232,60,65,55,0.11498257839721254
bluepurple,6955,-9.589268795713814,bluepurple,0.02203,#6e42ea,43,58,-78,0.04086021505376344,#633edc,40,55,-75,0.04291044776119403
greygreen,7534,-9.755311001947996,greygreen,0.05462,#7e9874,60,-16,16,0.15555555555555556,#809776,60,-15,15,0.15555555555555556
kellygreen,5277,-9.036040081979808,kellygreen,0.01713,#00a22e,58,-61,48,0.03260869565217391,#00a92e,60,-65,50,0.03533026113671275
puke,7213,-9.834996179594063,puke,0.03513,#919709,60,-17,62,0.0859106529209622,#868900,55,-15,60,0.09777777777777778
rose,9291,-10.290627999985993,rose,0.0391,#c66270,54,41,11,0.11299435028248588,#c76674,55,40,10,0.11299435028248588
darkteal,5231,-9.030684872794778,darkteal,0.04679,#004b4c,28,-21,-7,0.12393162393162394,#004342,25,-20,-5,0.13855421686746988
babyblue,6825,-9.533463759853245,babyblue,0.03109,#b7e2ff,88,-7,-20,0.08333333333333333,#acd9ff,85,-5,-25,0.08372093023255814
paleblue,7419,-9.862933353841962,paleblue,0.03527,#dbf9ff,96,-8,-7,0.11711711711711711,#e4ffff,100,-10,-5,0.12605042016806722
greenyellow,5345,-9.104834452419672,greenyellow,0.0333,#ccf90e,92,-39,88,0.07407407407407407,#d3ff30,95,-40,85,0.07449856733524356
brickred,5192,-8.993823960388179,brickred,0.04709,#96271a,34,45,35,0.08974358974358974,#982a25,35,45,30,0.09558823529411764
lightgrey,3916,-8.59128890128357,lightgrey,0.05716,#d8dbd4,87,-2,3,0.12313432835820895,#d4d4d4,85,0,0,0.14022140221402213
darkgrey,4626,-8.902775406284567,darkgrey,0.08972,#3c3b3d,25,1,-1,0.2713178294573643,#3b3b3b,25,0,0,0.2713178294573643
white,2260,-7.285049335503422,white,0.12705,#fffeff,100,2,-1,0.4028776978417266,#ffffff,100,0,0,0.4028776978417266
brightpink,4237,-8.771628108299188,brightpink,0.02747,#ff01ae,57,89,-20,0.056910569105691054,#fd00a9,55,90,-20,0.056910569105691054
chartreuse,4610,-9.117958473953376,chartreuse,0.0242,#bdeb00,87,-39,86,0.05122950819672131,#caff11,95,-45,90,0.056338028169014086
purpleblue,5253,-9.483520553450669,purpleblue,0.01717,#7447f1,45,59,-79,0.030107526881720432,#7858ff,50,55,-80,0.03322259136212625
royalpurple,5591,-9.63044208386461,royalpurple,0.02343,#4b0060,17,45,-37,0.06349206349206349,#480058,15,45,-35,0.06349206349206349
burgundy,4976,-9.21912427536804,burgundy,0.05046,#61001c,18,42,13,0.11282051282051282,#56001a,15,40,10,0.12264150943396226
goldenrod,3593,-8.538186449536413,goldenrod,0.04029,#e3b200,75,5,78,0.07334963325183375,#e3b200,75,5,80,0.07958477508650519
darkbrown,4003,-8.848737724515672,darkbrown,0.09276,#2d1c07,12,6,15,0.22988505747126436,#2a1800,10,5,20,0.24193548387096775
lightorange,3943,-8.81929227490744,lightorange,0.05127,#ffbc5a,81,16,58,0.13218390804597702,#ffb654,80,20,60,0.1476510067114094
darkorange,3674,-8.743456505558026,darkorange,0.03622,#bf4b00,47,44,58,0.07829181494661921,#ba4400,45,45,60,0.08762886597938144
redbrown,4901,-9.387152817128563,redbrown,0.04533,#903d2f,37,34,26,0.10344827586206896,#8b382c,35,35,25,0.10344827586206896
paleyellow,2871,-8.21093599764957,paleyellow,0.06267,#ffff99,100,-14,51,0.1693548387096774,#ffff91,100,-15,55,0.17857142857142858
plum,5880,-9.916032156987585,plum,0.0358,#622f4a,27,27,-6,0.0851063829787234,#68374f,30,25,-5,0.08823529411764706
offwhite,2672,-8.08415830262352,offwhite,0.06946,#ffffea,100,-3,11,0.16901408450704225,#fdffeb,100,-5,10,0.16901408450704225
pinkpurple,5852,-9.944591887088402,pinkpurple,0.01785,#c659a8,54,53,-22,0.027874564459930314,#b8519a,50,50,-20,0.03065134099616858
darkyellow,3498,-8.867750752597555,darkyellow,0.02999,#c4ab00,70,-5,73,0.06439393939393939,#c4ab00,70,-5,75,0.06439393939393939
