term,rel_term,frequency,entropy,Hex,lab_L,lab_a,lab_b,prob
royalpurple,,5591,-9.63044208386461,#4b0060,17,45,-37,0.0021463065641209086
burgundy,,4976,-9.21912427536804,#61001c,18,42,13,0.0044212218649517685
goldenrod,,3593,-8.538186449536413,#e3b200,75,5,78,0.008349568605622042
darkbrown,,4003,-8.848737724515672,#2d1c07,12,6,15,0.004996252810392206
lightorange,,3943,-8.81929227490744,#ffbc5a,81,16,58,0.005833121988333756
darkorange,,3674,-8.743456505558026,#bf4b00,47,44,58,0.005988023952095809
redbrown,,4901,-9.387152817128563,#903d2f,37,34,26,0.003672719853091206
paleyellow,,2871,-8.21093599764957,#ffff99,100,-14,51,0.0073145245559038665
plum,,5880,-9.916032156987585,#622f4a,27,27,-6,0.0020408163265306124
offwhite,,2672,-8.08415830262352,#ffffea,100,-3,11,0.008982035928143712
pinkpurple,,5852,-9.944591887088402,#c659a8,54,53,-22,0.001367053998632946
darkyellow,,3498,-8.867750752597555,#c4ab00,70,-5,73,0.004859919954259577
lightyellow,,2447,-8.01969250806498,#ffff91,100,-14,55,0.007764609726195341
mustardyellow,,3139,-8.610816052007904,#c5b200,72,-8,75,0.005097164702134438
brightred,,1749,-7.1656395155478565,#ff0c24,54,80,56,0.018867924528301886
peagreen,,4870,-9.887868155738175,#8aa310,63,-26,63,0.003080082135523614
khaki,,4965,-9.880112349709325,#a8a665,67,-9,34,0.0030211480362537764
orangered,,2290,-8.126389920807927,#f75133,58,62,52,0.00611353711790393
crimson,,2859,-8.689643545608968,#88000e,27,52,34,0.004896817068905212
deepblue,,3312,-9.190723529803464,#00026f,10,42,-59,0.003321256038647343
springgreen,,4612,-9.690730537829376,#bafe85,93,-41,51,0.0010841283607979184
cream,,2159,-8.079011777869784,#ffffca,100,-8,27,0.007410838351088467
palepink,,3211,-9.088958751918819,#ffdee9,92,15,0,0.005294300840859545
yelloworange,,2039,-7.875047030571461,#ffb828,80,17,76,0.009318293281020108
deeppurple,,4070,-9.5931019072033,#2c0026,6,27,-14,0.0017199017199017199
pinkred,,2649,-8.583022328710404,#ed1a4b,51,75,30,0.007927519818799546
pastelgreen,,4148,-9.525600254035972,#bcffa6,94,-37,36,0.0021697203471552555
sand,,3716,-9.364247944555839,#e3cf79,83,-4,45,0.004036598493003229
rust,,3191,-9.094553252640909,#a03b12,39,40,44,0.00532748354747728
lightred,,3085,-9.041314265712753,#ff5756,61,64,37,0.0038897893030794164
taupe,,3888,-9.751499292388344,#ac9178,62,6,17,0.0030864197530864196
armygreen,,3503,-9.42805055616176,#4d5415,34,-12,34,0.0028546959748786756
robinseggblue,,3415,-9.322777436044696,#b5f6ff,93,-18,-11,0.0017569546120058566
huntergreen,,2893,-8.979056342710784,#002b00,14,-25,20,0.0024196335983408227
greenblue,,3237,-9.33570724133311,#007764,44,-35,2,0.002162496138399753
