Hex,L,A,B,green,blue,purple,red,pink,yellow,orange,brown,teal,lightblue,grey,limegreen,magenta,lightgreen,brightgreen,skyblue,cyan,turquoise,darkblue,darkgreen,aqua,olive,navyblue,lavender,fuchsia,black,royalblue,violet,hotpink,tan,forestgreen,lightpurple,neongreen,yellowgreen,maroon,darkpurple,salmon,peach,beige,lime,seafoamgreen,mustard,brightblue,lilac,seagreen,palegreen,bluegreen,mint,lightbrown,mauve,darkred,greyblue,burntorange,darkpink,indigo,periwinkle,bluegrey,lightpink,aquamarine,gold,brightpurple,grassgreen,redorange,bluepurple,greygreen,kellygreen,puke,rose,darkteal,babyblue,paleblue,greenyellow,brickred,lightgrey,darkgrey,white,brightpink,chartreuse,purpleblue,royalpurple,burgundy,goldenrod,darkbrown,lightorange,darkorange,redbrown,paleyellow,plum,offwhite,pinkpurple,darkyellow,lightyellow,mustardyellow,brightred,peagreen,khaki,orangered,crimson,deepblue,springgreen,cream,palepink,yelloworange,deeppurple,pinkred,pastelgreen,sand,rust,lightred,taupe,armygreen,robinseggblue,huntergreen,greenblue,lightteal,cerulean,flesh,orangebrown,slateblue,slate,coral,blueviolet,ochre,leafgreen,electricblue,seablue,midnightblue,steelblue,brick,palepurple,mediumblue,burntsienna,darkmagenta,eggplant,sage,darkturquoise,puce,bloodred,neonpurple,mossgreen,terracotta,oceanblue,yellowbrown,brightyellow,dustyrose,applegreen,neonpink,skin,cornflowerblue,lightturquoise,wine,deepred,azure
#4e66b6,45,15,-45,0,258,14,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,9,0,0,0,6,4,0,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,0,0,6,12,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,2
#ccabf0,75,25,-30,0,4,34,0,13,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,67,2,0,0,13,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#aedbf0,85,-10,-15,0,49,0,0,0,0,0,0,5,100,6,0,0,0,0,62,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,23,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#7e44ea,45,60,-75,0,73,207,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,34,0,0,0,22,0,0,0,2,0,0,0,0,0,0,2,9,0,0,0,0,0,4,0,0,0,0,13,12,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
#2e30e7,35,60,-90,0,775,28,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,16,0,0,0,4,0,0,0,63,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2
#5cd6f4,80,-25,-25,0,142,0,0,0,0,0,0,31,146,0,0,0,0,0,107,72,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3
#6f8b72,55,-15,10,30,3,0,0,0,0,0,0,8,0,62,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
#564500,30,0,40,6,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#da239b,50,75,-20,0,0,60,2,203,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,2,73,0,0,9,51,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
#9b2ba1,40,60,-40,0,0,335,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,12,0,0,34,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#b43ddf,50,70,-60,0,3,321,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,16,15,0,0,39,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
